용어,물리명,동의어,용어설명,사용예시,,
번호,ID,ID,일련번호 또는 기본키,상영관번호,,
영화,MOVIE,,"영화관에서 상영하는 영상매체, 주체",,,
등급,GRADE,,영화를 관람하기에 적절한 법적연령,MOVIE_GRADE: 영화등급,,
배급사,DISTR,,"영화를 수입, 배급하는 회사나 단체",MOVIE_DISTR: 영화배급사,,
개봉,RELEASE,,국내 영화관에서 첫방영된 날짜,MOVIE_RELEASE: 영화개봉일,,
장르,GEN,,"영화의 성격을 대략적을 묶어 정의하는 단어, 장르",MOVIE_GEN: 영화장르,,
배우,ACTORS,,영화내에서 등장하는 배우,,,
감독,DIRECTORS,,영화 연출을 담당한 인물,,,
설명,DESC,,영화 내용을 대략적으로 요약,MOVIE_DESC: 영화설명,,
포스터,POSTER,,영화 포스터의 URL,POSTER_URL: 영화포스터URL,,
상영,SHOW,,"영화를 관람할수있는 특정 시간, 일정, 영화정보를 포함함",,,
회차,COUNT,회수,"회수, 숫자",SHOW_TOTAL_COUNT: 총상영횟수,,
시작시간,START_TIME,,영화 일정 시작 시간,SHOW_START_TIME: 상영시작시간,,
상영관,THEATER,,상영을 할 수 있는 장소의 정보,,,
타입,TYPE,"방법, 유형",분류,"USR_TYPE: 회원타입, SEAT_TYPE: 좌석타입",,
열,ROW,,열(Row),SEAT_ROW: 좌석열,,
행,COL,,행(Column),SEAT_COL: 좌석행,,
좌석,SEAT,,상영관을 구성하는 (예약할수있는) 좌석,,,
예매,TICKET,,사용자가 예매한 영화티켓의 정보가 포함됨,,,
상태,STATE,,"상태, 프로세스",TICKET_STATE: 예매상태,,
회원,USR,고객,고객이나 관리자,,,
이름,NAME,"제목, 명",이름,"MOVIE_NAME: 영화명, USR_NAME: 회원명",,
이메일,EMAIL,,고객이나 관리자의 이메일,USR_EMAIL: 이메일,,
패스워드,PASSWORD,,고객이나 관리자가 로그인시 작성하는 암호,USR_PASSWORD: 패스워드,,
포인트,POINT,,고객이나 관리자가 영화를 예매시 현금과 비슷하게 사용하는 사이트내 화폐,USR_POINT: 포인트,,
결제,PAY,,"고객이나 관리자가 예매할때 사용한 방법, 가격및 정보",,,
가격,PRICE,,예매할때 지불한 금액,"TICKET_PRICE: 티켓가격, PAY_PRICE: 결제금액",,
승인,APRV,,결제가 성공적으로 완료되었는가?,PAY_APPR_NUM: 결제승인번호,,
날짜,DATE,일자,날짜,PAY_DATE: 결제일자,,
